"rule","engine","severity","tags","file","startLine","startColumn","endLine","endColumn","message","resources"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS","force-app/main/default/lwc/docGenAdmin/docGenAdmin.css",3,12,3,19,"Consider replacing the #111827 static value with an SLDS 2 styling hook that has a similar value: 
1. --slds-g-color-on-surface-3
2. --slds-g-color-info-base-10
3. --slds-g-color-neutral-base-10
4. --slds-g-color-neutral-base-15
5. --slds-g-color-info-base-15.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS","force-app/main/default/lwc/docGenAdmin/docGenAdmin.css",8,17,8,24,"Consider replacing the #f9fafb static value with an SLDS 2 styling hook that has a similar value: 
1. --slds-g-color-surface-1
2. --slds-g-color-surface-container-1
3. --slds-g-color-on-accent-1
4. --slds-g-color-on-accent-2
5. --slds-g-color-on-accent-3.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS","force-app/main/default/lwc/docGenAdmin/docGenAdmin.css",9,13,9,16,"Consider replacing the 1px static value with an SLDS 2 styling hook that has a similar value: --slds-g-sizing-border-1.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS","force-app/main/default/lwc/docGenAdmin/docGenAdmin.css",9,23,9,30,"Consider replacing the #e5e7eb static value with an SLDS 2 styling hook that has a similar value: 
1. --slds-g-color-border-1
2. --slds-g-color-border-inverse-1
3. --slds-g-color-disabled-container-1
4. --slds-g-color-disabled-container-2
5. --slds-g-color-error-base-95.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS","force-app/main/default/lwc/docGenAdmin/docGenAdmin.css",10,20,10,24,"Consider replacing the 12px static value with an SLDS 2 styling hook that has a similar value: --slds-g-radius-border-3.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS","force-app/main/default/lwc/docGenAdmin/docGenAdmin.css",11,14,11,20,"Consider replacing the 1.5rem static value with an SLDS 2 styling hook that has a similar value: --slds-g-spacing-5.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS","force-app/main/default/lwc/docGenAdmin/docGenAdmin.css",12,20,12,24,"Consider replacing the 2rem static value with an SLDS 2 styling hook that has a similar value: --slds-g-spacing-6.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS","force-app/main/default/lwc/docGenAdmin/docGenAdmin.css",16,17,16,24,"Consider replacing the #ffffff static value with an SLDS 2 styling hook that has a similar value: 
1. --slds-g-color-surface-1
2. --slds-g-color-surface-container-1
3. --slds-g-color-on-accent-1
4. --slds-g-color-on-accent-2
5. --slds-g-color-on-accent-3.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS","force-app/main/default/lwc/docGenAdmin/docGenAdmin.css",17,13,17,16,"Consider replacing the 1px static value with an SLDS 2 styling hook that has a similar value: --slds-g-sizing-border-1.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
"@salesforce-ux/slds/no-hardcoded-values-slds2","eslint",4,"Recommended,SLDS,Design,CSS","force-app/main/default/lwc/docGenAdmin/docGenAdmin.css",17,23,17,30,"Consider replacing the #e5e7eb static value with an SLDS 2 styling hook that has a similar value: 
1. --slds-g-color-border-1
2. --slds-g-color-border-inverse-1
3. --slds-g-color-disabled-container-1
4. --slds-g-color-disabled-container-2
5. --slds-g-color-error-base-95.","https://developer.salesforce.com/docs/platform/slds-linter/guide/reference-rules.html#no-hardcoded-values-slds2"
